tabela;arquivo;linha;ponto_execucao;barreira_detectada;pistas;cardinalidade;classificacao;justificativa
materials;src/app/api/team-stock-operations/import/route.ts;269;await;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/team-stock-operations/reversal/route.ts;172;await;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/team-stock-operations/route.ts;823;await;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/team-stock-operations/route.ts;928;await;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/app/api/team-stock-operations/route.ts;1382;await;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/lib/server/materialCatalog.ts;54;await;NENHUMA;range;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
materials;src/server/modules/warehouse-addressing/handlers.ts;537;await;NENHUMA;inFilter;1351 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1351 linhas no maior tenant
app_entity_history;src/app/api/activities/route.ts;398;await;NENHUMA;range+countExact;1150 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1150 linhas no maior tenant
app_entity_history;src/app/api/composicao-equipe/route.ts;741;await;NENHUMA;-;1150 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1150 linhas no maior tenant
app_entity_history;src/app/api/composicao-equipe/route.ts;837;await;NENHUMA;range+countExact;1150 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1150 linhas no maior tenant
app_entity_history;src/app/api/job-titles/route.ts;227;await;NENHUMA;range+countExact;1150 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1150 linhas no maior tenant
app_entity_history;src/app/api/people/route.ts;977;await;NENHUMA;range+countExact;1150 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1150 linhas no maior tenant
app_entity_history;src/app/api/teams/route.ts;980;await;NENHUMA;range+countExact;1150 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1150 linhas no maior tenant
app_entity_history;src/lib/server/locationPlanning.ts;649;await;NENHUMA;-;1150 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1150 linhas no maior tenant
app_user_page_permissions;src/app/api/auth/session-access/route.ts;33;await;NENHUMA;-;1065 linhas no maior tenant (2026-08-21);P0;ACIMA DO TETO HOJE - 1065 linhas no maior tenant
programming_team;src/server/modules/programacao-normalizada/queries.ts;40;await;NENHUMA;inFilter;975 linhas no maior tenant (2026-08-21);P1;a menos de 10% do teto - 975 linhas
programming_team;src/server/modules/programacao-normalizada/queries.ts;895;await;NENHUMA;inFilter;975 linhas no maior tenant (2026-08-21);P1;a menos de 10% do teto - 975 linhas
project_asbuilt_measurement_order_items;src/app/api/medicao-asbuilt/route.ts;472;await;NENHUMA;-;918 linhas no maior tenant (2026-08-21);P1;a menos de 10% do teto - 918 linhas
project_asbuilt_measurement_order_items;src/app/api/medicao-asbuilt/route.ts;666;await;NENHUMA;inFilter;918 linhas no maior tenant (2026-08-21);P1;a menos de 10% do teto - 918 linhas
project_measurement_orders;src/app/api/apuracao-fator-minimo/route.ts;356;await;NENHUMA;inFilter;879 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 879 linhas
project_measurement_orders;src/app/api/composicao-equipe/route.ts;697;await;NENHUMA;range+inFilter;879 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 879 linhas
project_measurement_orders;src/app/api/dash-operacional-faturamento/route.ts;737;indefinido;NENHUMA;inFilter;879 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 879 linhas
project_measurement_orders;src/app/api/medicao/rate-suggestion/route.ts;47;await;NENHUMA;limit;879 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 879 linhas
project_measurement_orders;src/app/api/medicao/rate-suggestion/route.ts;68;await;NENHUMA;limit;879 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 879 linhas
project_measurement_orders;src/app/api/meta/route.ts;305;await;NENHUMA;-;879 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 879 linhas
project_measurement_orders;src/server/modules/dashboard-measurement/controller.ts;731;await;NENHUMA;limit;879 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 879 linhas
project_measurement_orders;src/server/modules/dashboard-portfolio/controller.ts;490;callback;NENHUMA;range+inFilter+loadPaged;879 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 879 linhas
project_measurement_orders;src/server/modules/medicao/list.ts;106;indefinido;NENHUMA;countExact;879 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 879 linhas
project_measurement_orders;src/server/modules/medicao/queries.ts;577;await;NENHUMA;inFilter;879 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 879 linhas
project_location_risks;src/lib/server/locationPlanning.ts;232;await;NENHUMA;limit;714 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 714 linhas
project_location_risks;src/lib/server/locationPlanning.ts;267;await;NENHUMA;-;714 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 714 linhas
project_location_risks;src/lib/server/locationPlanning.ts;363;indefinido;NENHUMA;-;714 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 714 linhas
team_compositions;src/app/api/composicao-equipe/route.ts;582;indefinido;NENHUMA;-;663 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 663 linhas
team_compositions;src/app/api/composicao-equipe/route.ts;951;indefinido;NENHUMA;countExact;663 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 663 linhas
team_compositions;src/server/modules/composicao-equipe/dayForemen.ts;40;await;NENHUMA;-;663 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 663 linhas
team_compositions;src/server/modules/medicao/queries.ts;32;callback;NENHUMA;range+inFilter;663 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 663 linhas
programming;src/server/modules/programacao-normalizada/queries.ts;345;await;NENHUMA;inFilter;602 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 602 linhas
programming;src/server/modules/programacao-normalizada/queries.ts;373;indefinido;NENHUMA;-;602 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 602 linhas
programming;src/server/modules/programacao-normalizada/queries.ts;408;indefinido;NENHUMA;-;602 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 602 linhas
programming;src/server/modules/programacao-normalizada/queries.ts;513;indefinido;NENHUMA;limit+countExact;602 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 602 linhas
programming;src/server/modules/programacao-normalizada/queries.ts;607;indefinido;NENHUMA;inFilter;602 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 602 linhas
programming;src/server/modules/programacao-normalizada/queries.ts;649;await;NENHUMA;-;602 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 602 linhas
programming;src/server/modules/programacao-normalizada/queries.ts;685;await;NENHUMA;-;602 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 602 linhas
programming;src/server/modules/programacao-normalizada/queries.ts;738;callback;NENHUMA;range+inFilter;602 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 602 linhas
programming;src/server/modules/programacao-normalizada/queries.ts;758;callback;NENHUMA;range+inFilter;602 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 602 linhas
programming;src/server/modules/programacao-normalizada/queries.ts;780;callback;NENHUMA;range+inFilter;602 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 602 linhas
project_billing_order_items;src/app/api/faturamento/route.ts;406;await;NENHUMA;-;578 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 578 linhas
project_billing_order_items;src/app/api/faturamento/route.ts;608;await;NENHUMA;inFilter;578 linhas no maior tenant (2026-08-21);P2;cerca de metade do teto - 578 linhas
team_types;src/app/api/activities/meta/route.ts;33;await;NENHUMA;-;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
types_service_activities;src/app/api/activities/meta/route.ts;40;indefinido;NENHUMA;-;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
app_users;src/app/api/activities/route.ts;419;await;NENHUMA;inFilter;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
service_activities;src/app/api/activities/route.ts;463;indefinido;NENHUMA;countExact;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
app_users;src/app/api/activities/route.ts;521;await;NENHUMA;inFilter;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
team_types;src/app/api/activities/route.ts;535;await;NENHUMA;inFilter;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
types_service_activities;src/app/api/activities/route.ts;549;await;NENHUMA;inFilter;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
app_users;src/app/api/app-users/search/route.ts;25;await;NENHUMA;range;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
app_users;src/app/api/app-users/search/route.ts;46;await;NENHUMA;limit;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
app_roles;src/app/api/app-users/search/route.ts;84;await;NENHUMA;inFilter;nao medida - tabela nao listada;P3;sem tenant_id ou nao medida - revisar manualmente
